org,verdict,blocks,block_srcs,own_src,third_src,months,nar_kb,nums,blk_with_before,blk_with_fail,blk_with_actor,blk_dual,auto,aug,fail,variants,top_docs
Waymo,CORE,24,11,79,0,9,551.5,465,13,5,12,1,482,36,39,Waymo,transcripts/channels/Waymo/Self-Driven_Women_Engineering_the_future_of_autonomy__cvqGkq2SGWQ.md|transcripts/channels/Waymo/Scale_AI’s_TransformX_Presentation_with_Waymo_Head_of_Resear__oJ96bgmSaW0.md|transcripts/channels/Waymo/Waymo_&_NVIDIA_on_their_futures_in_autonomy_AI_in_Motion__osMnHe8691Q.md|transcripts/channels/Waymo/Scale_AI’s_TransformX_Fireside_Chat_with_Waymo_co-CEO_Dmitri__wF8m2Wt1Ij8.md|transcripts/channels/Waymo/Shelby_Heinecke_Tells_Why_Salesforce’s_Massive_Scale_Takes_A__ZgC6sVQSiY0.md
Arm,CORE,24,10,90,0,5,646.0,639,7,0,4,1,144,6,27,Arm,transcripts/channels/Arm/Arm_Viewpoints_How_AI_and_advanced_robotics_are_redefining_a__i7RToTgWszY.md|transcripts/channels/Arm/COMPUTEX_2026_Arm_CEO_Keynote_The_foundation_for_the_agentic__wTa3qCHJjtQ.md|transcripts/channels/Arm/Arm_Viewpoints_The_Arm_AGI_CPU_launch_and_future_of_AI_infra__M_7MUDwMUvI.md|transcripts/channels/Arm/Arm_Viewpoints_How_AI_and_biometrics_are_powering_equitable___vQBRR7c_8IM.md|transcripts/channels/Arm/Arm_Viewpoints_The_rise_of_hybrid_AI__2v2XHgH0zCQ.md
Qdrant,CORE,23,16,120,0,9,1321.6,503,10,3,8,0,81,61,48,Qdrant,transcripts/channels/Qdrant/Biomedical_AI_Copilot_with_Neo4j_and_Qdrant__10g1iJnfLWQ.md|transcripts/channels/Qdrant/Deep_research_is_just_really_smart_rag_w_Robert_Caulk__wAcWJtWQVN8.md|transcripts/channels/Qdrant/Modernizing_Legacy_Search_with_Semantic_Retrieval_in_the_AI___-IHb9Dv8OQQ.md|transcripts/channels/Qdrant/Qdrant_&_Neo4j_-_Relevant_and_Diverse_Vector_Search_-_MMR_an__W58itLg3qWA.md|transcripts/channels/Qdrant/Qdrant_+_Oncotelic_Building_the_DNA_of_Search_Bastian_Hofman__srmU9n95ce0.md
OpenAI,CORE,23,13,97,1,2,346.5,265,18,2,11,0,60,2,16,OpenAI,"transcripts/channels/OpenAI/OpenAI_on_OpenAI_Stacie_Faggioli,_Business_Finance_Officer_A__1NtS2KdnDok.md|transcripts/channels/OpenAI/Customer_Ignite_Talk_Ravneet_Shah_(CTO,_Allica_Bank)_&_OpenA__pcAtJDBO3hw.md|transcripts/channels/OpenAI/Why_Tejal_Patwardhan_stopped_underestimating_the_models_-_Ep__CFqjjKp9Y-Q.md|transcripts/channels/OpenAI/Customer_Ignite_Talk_Emily_Prince_(Group_Head_of_AI,_LSEG)_&__LJKzZAH0bEw.md|transcripts/channels/OpenAI/Frontier_Intelligence_&_Financial_Services_Katy_Elkin,_GTM_L__ykNmTvRcqPQ.md"
Nokia,CORE,21,13,98,0,5,407.8,416,12,1,5,0,455,8,16,Nokia,"transcripts/channels/Nokia/Networked_How_can_openness,_AI,_and_cloud-native_architectur__JB7hJ4kQo8M.md|transcripts/channels/Nokia/Cloud_Packet_Core_-_Cloud-native_Appliances_scaling_5G_edge___VpJnWW85ZEk.md|transcripts/channels/Nokia/Enterprise_5G_–_Boost_to_Businesses__NLNBz1NKYhQ.md|transcripts/channels/Nokia/The_Evolution_to_a_Fully_Automated_Network_Part_II__IaqO4MXSiP4.md|transcripts/channels/Nokia/The_emergence_of_AI_RAN_and_its_commercial_viability__vFdBNy9ChIc.md"
Anthropic,CORE,19,10,99,0,7,1197.5,392,7,1,9,0,88,37,47,Anthropic,transcripts/channels/Anthropic/Defending_against_AI_jailbreaks__BaNXYqcfDyo.md|transcripts/channels/Anthropic/Building_the_future_of_agents_with_Claude__XuvKFsktX0Q.md|transcripts/channels/Anthropic/Prompting_for_Agents_Code_w_Claude__XSZP9GhhuAc.md|transcripts/channels/Anthropic/Scaling_interpretability__sQar5NNGbw4.md|transcripts/channels/Anthropic/The_Model_Context_Protocol_(MCP)__CQywdSdi5iA.md
Hugging Face,CORE,18,12,129,0,11,1612.0,828,14,1,5,0,87,36,94,Hugging Face,transcripts/channels/Hugging_Face/AI_Ethics_Around_Machine_Learning_Datasets_and_Models_-_Emil__dsCI22jbhLc.md|transcripts/channels/Hugging_Face/How_to_Create_an_LLM_Dataset_FineWeb_Overview__vB9pHTZKoGQ.md|transcripts/channels/Hugging_Face/HuggingCast_v1_-_AI_News_and_Demos__nfQ8vB3cn2Q.md|transcripts/channels/Hugging_Face/Hugging_Face_Inference_Endpoints_live_launch_event_recorded___2G4kmYeJuyk.md|transcripts/channels/Hugging_Face/The_Power_of_Open_Source_Building_Giants_in_the_Open__aNCLqvTCxeg.md
AWS Developers,CORE,17,12,164,0,8,1253.1,417,6,0,2,0,76,41,98,AWS Developers,transcripts/channels/AWS_Developers/S3_at_20_How_AWS_Built_the_Internet's_Storage__XmytPmyzDcs.md|transcripts/channels/AWS_Developers/AI_and_the_Job_Market_in_2026__0nR3wYm602c.md|transcripts/channels/AWS_Developers/AWS_Lambda_Durable_Functions_Hands-On_Tutorial__M-R6JLS3I2k.md|transcripts/channels/AWS_Developers/How_Much_Does_Your_AI_Agent_Actually_Cost__tGQlowf5L-Q.md|transcripts/channels/AWS_Developers/Architecting_Anomaly_Detection_+_Rapid_AI_Solutions_(Apache___iCi7KsvVr9U.md
Microsoft Azure,CORE,16,12,106,0,4,625.3,441,11,0,7,3,84,133,38,Microsoft Azure,transcripts/channels/Microsoft_Azure/OC3_2026_Azure_confidential_computing_in_the_sovereign_cloud__pvTvGbPlwJQ.md|transcripts/channels/Microsoft_Azure/S2E1_Are_my_agents_hunting_for_data_—_The_Shift_Podcast_by_M__uTv-E-vz570.md|transcripts/channels/Microsoft_Azure/S2E2_How_do_agents_work_together_—_The_Shift_Podcast_by_Micr__EXoIFK8viVM.md|transcripts/channels/Microsoft_Azure/S2E7_Should_my_IT_team_hire_agents_—_The_Shift_Podcast_by_Mi__Vo7g9j34qv8.md|transcripts/channels/Microsoft_Azure/Building_the_Modern_Quantum_Architecture—Lecture_7_High_Accu__YROGyYZYBrk.md
Palantir,CORE,16,10,86,0,8,1049.0,354,8,1,9,0,200,33,17,Palantir,transcripts/channels/Palantir/Turning_Data_Floods_into_Decision_Making_Walgreens_at_AIPCon__10l8KScaPoE.md|transcripts/channels/Palantir/Backstage_Pass_AIPCon_5__F47gTGFk2Bo.md|transcripts/channels/Palantir/Classifying_Data_with_LLMs_Aramark_at_AIPCon_5__GFYdOaaqAGw.md|transcripts/channels/Palantir/Paragon_2025__UjkRz9HkldU.md|transcripts/channels/Palantir/Unlocking_the_Future_of_Underwriting_Sompo_at_AIPCon_4__55kSbkkeHjc.md
